track_id,title,genre_top,artist_name,license,subset,duration,listens,split
2,Food,Hip-Hop,AWOL,CC BY-NC-SA,small,168,1293,training
5,This World,Hip-Hop,AWOL,CC BY-NC-SA,small,206,1151,training
148,Blackout 2,Experimental,Contradiction,CC BY-NC-SA,small,138,1831,validation
190,Castle Of Stars,Folk,Ed Askew,CC BY-NC-SA,small,249,945,training
193,Here With You,Folk,Ed Askew,CC BY-NC-SA,small,254,824,training
194,All I want to Do,Folk,Ed Askew,CC BY-NC-SA,small,192,754,training
197,Piano 2,Folk,Ed Askew,CC BY-NC-SA,small,68,833,training
200,Baby Come Home,Folk,Ed Askew,CC BY-NC-SA,small,194,772,training
203,Song For R,Folk,Ed Askew,CC BY-NC-SA,small,195,603,training
204,My Dream,Folk,Ed Askew,CC BY-NC-SA,small,324,688,training
207,Piano 3,Folk,Ed Askew,CC BY-NC-SA,small,96,609,training
210,In the French Court,Folk,Ed Askew,CC BY-NC-SA,small,184,1824,training
211,In America,Folk,Ed Askew,CC BY-NC-SA,small,247,1714,training
212,When I Arive,Folk,Ed Askew,CC BY-NC-SA,small,230,551,training
213,Boute,Pop,Au,CC BY-NC-SA,small,247,1148,training
255,We Want to be Old,Rock,Bird Names,CC BY-NC-SA,small,182,4495,training
256,Toggle,Rock,Black Elk,CC BY-NC-SA,small,202,2311,training
424,The Ambient Honky,Experimental,Brian Joseph Davis,CC BY-NC-SA,small,76,3562,training
459,Machines and Muscles,Rock,CAVE,CC BY-NC-SA,small,301,7765,validation
534,I Can See You,Folk,Charles Manson,CC BY-NC-SA,small,80,614,training
540,The Black Pirate,Folk,Charles Manson,CC BY-NC-SA,small,309,835,training
546,If You Have No One,Folk,Charles Manson,CC BY-NC-SA,small,319,741,training
574,Caliente Queen,Rock,Clockcleaner,CC BY-NC-SA,small,267,2617,training
602,Disappearing,Folk,Dora Bleu,CC BY-NC-SA,small,445,660,validation
615,"Immaterial, side A",Experimental,EKG,CC BY-NC-SA,small,519,1019,training
620,Arabesque,Folk,Ed Askew,CC BY-NC-SA,small,205,922,training
621,Blue Eyed Baby,Folk,Ed Askew,CC BY-NC-SA,small,161,678,training
625,Climbing To The Top,Folk,Ed Askew,CC BY-NC-SA,small,234,655,training
666,Heat,International,Explode Into Colors,CC BY-NC-SA,small,235,1902,training
667,Sharpen The Knife,International,Explode Into Colors,CC BY-NC-SA,small,246,2005,training
